date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-05-23,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,-0.009412825
2025-05-26,100621737.96285921,0.006625707496496509,81665573.58087511,0.8166557358087512,40832.78679043756,0.0004083278679043756,82328144.33052476,18293593.632334456,-0.00045782328
2025-05-27,101082412.17715612,0.004807496498324325,108770664.68014726,0.2693760975314995,63897.22540528381,0.0002292192430959564,90893187.95228833,10189224.224867783,-0.0018381476
2025-05-28,101501812.27445836,0.004379037800918004,134410093.79161558,0.2536487659844611,87140.8320347818,0.00022994709098118324,96127476.62016073,5374335.65429763,-0.00022602081
2025-05-29,102562390.33000205,0.010652570904598917,154059258.7143431,0.1935843753173261,107818.0286900473,0.00020371258593250417,95152668.40728374,7409721.92271831,0.007040262
2025-05-30,101057966.73065655,-0.01447186126407695,173189717.5300963,0.18652508735609155,127972.94426765539,0.00019651370753702367,91619486.19980602,9438480.53085053,-0.004744768
2025-06-03,100316230.31890382,-0.00713630344356394,193810247.26677945,0.20404655272396052,148529.0400408316,0.00020340895862236262,91027173.81084034,9289056.508063482,0.004328251
2025-06-04,101526371.12933084,0.012294826559862542,219080512.4751929,0.2519060487827309,171758.88252395325,0.00023156614248037743,96341389.91433406,5184981.214996786,0.0042316914
2025-06-05,101357203.75484101,-0.0014553827923216285,240521263.81232667,0.2111840608369736,193166.5235052947,0.00021085793516712042,96259850.89241028,5097352.862430734,0.002338767
2025-06-06,102502370.83984616,0.011507163667736266,260512536.26939088,0.19723583244678244,214333.37101119373,0.0002088341698642023,95075034.72725153,7427336.112594632,0.0003720522
2025-06-09,103990567.20315218,0.014720855398593401,281342823.4479321,0.20321761348415368,235059.58685155003,0.0002022023068397099,96792099.98276772,7198467.220384456,0.004257798
2025-06-10,104815748.88712414,0.0081475584310449,304475675.1861372,0.22245144305265285,257147.1254447775,0.00021239944340411252,99729995.49528804,5085753.39183609,-0.004399121
2025-06-11,105866704.0742228,0.010227861761317564,325587869.16029084,0.2014219637631871,278232.9283725914,0.00020117017863910058,100854818.5779943,5011885.496228503,0.005170107
2025-06-12,106511984.0570247,0.006295072927687504,346739061.9924266,0.19979079368813357,299391.5683318364,0.00019986113806292426,101506362.94653705,5005621.110487653,0.00010049343
2025-06-13,104318798.99137025,-0.020364248512774727,370615653.8034688,0.2241681255158962,323540.1210603423,0.0002267214618364183,98793404.59868382,5525394.392686421,-0.0075417757
2025-06-16,104827870.1204007,0.005098619674592038,393463828.04102945,0.2190225966793458,346350.87299710355,0.0002186638665064412,99400131.08124968,5427739.039151007,0.003474474
2025-06-17,105155048.37075223,0.0033395829224558793,416360444.21871185,0.2184210759160169,369253.9874970834,0.0002184830663226708,99737215.80150625,5417832.569245973,-0.00039070845
2025-06-18,106400071.39523591,0.01206505539845618,439959981.4648239,0.224426098525537,392932.44703386753,0.00022517663111427057,100848072.70418264,5551998.691053273,0.0004144907
2025-06-19,104706224.54363346,-0.015718671125297762,460275446.50975245,0.19093469373215272,414311.5686664024,0.0002009314594641536,97048291.799,7657932.744633471,-0.007879198
2025-06-20,103301504.28409332,-0.013191789166542225,483602611.73046434,0.22278680491426683,437769.3896023015,0.00022403463631833745,95405717.93002144,7895786.354071885,-0.0006582141
2025-06-23,104696042.68625909,0.013723882268649762,505414613.51728827,0.21114892699759655,460928.6704058466,0.0002241911283291082,94128857.57954842,10567185.106710669,0.006454706
2025-06-24,105766929.62023015,0.01048061562814172,534128665.825557,0.2742611045416077,487320.7176169839,0.00025208256715323924,99870146.7549935,5896782.8652366595,0.011528254
2025-06-25,106339645.5704045,0.005626380657487704,556709828.2243823,0.2134992712741674,509689.77445976366,0.00021149386602313912,100889442.87410176,5450202.696302749,0.010351539
2025-06-26,106584452.87034969,0.0025169358504342414,579557929.4031836,0.2148596702221864,532532.540773195,0.00021480950205262592,101167762.67109999,5416690.199249696,-0.0021762848
2025-06-27,105647595.41104482,-0.008581009559441095,601859386.3432387,0.20923742946996998,554787.7911097946,0.00020880390842434725,100345573.6690427,5302021.742002111,-0.0070251822
2025-06-30,106302339.30153474,0.006400117267454501,623350812.6255392,0.20342560754632824,576200.9002751485,0.00020268430229804555,101178364.9025911,5123974.398943653,0.0058988333
2025-07-01,106841012.67217778,0.005277363925899098,645606151.1860223,0.20935887871060035,598523.6603007192,0.0002099931212449665,101604518.10308433,5236494.569093451,0.003867507
2025-07-02,106200114.89962623,-0.005788140276454447,668052771.088442,0.2100936647923121,621010.6642272585,0.0002104716472085173,100905339.28622021,5294775.613406016,-0.0008546114
2025-07-03,106630846.14506492,0.004268461389584375,691785388.8231714,0.22347073500965617,643590.5088070424,0.00021261600894805925,103664196.6861295,2966649.458935424,0.0018405914
2025-07-04,104972678.53594653,-0.015358119740022557,712407407.6011217,0.19339637190813677,664108.8148495997,0.00019242373838657733,102233972.85383976,2738705.682106771,0.0032266378
2025-07-07,105291318.40276645,0.0032198369685360116,731833167.709957,0.18505539136246046,683463.8590659689,0.00018438173138300246,102713399.54980823,2577918.8529582145,0.00023269653
