变量,均值,标准差,最小值,最大值
策略日收益,0.002513887074870987,0.012458874672568433,-0.0390681439669818,0.0439073733522146
上证指数收益,0.0007790036836350054,0.007954137313039907,-0.0363325939783976,0.0269482142788288
深证成指收益,0.001862587832251105,0.013379213092219983,-0.0375508736999504,0.0479152432029701
中证500收益,0.0017894675093961673,0.013629742619458571,-0.0435095250425776,0.049403845749983
换手率,0.22245968786642661,0.04961962730848691,0.0,0.8166557358087512
